Datetime,Edition,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
18/10/2017 23:58:18,2017.2,18,S,F,Não USP,,2,1,Negócios,Não,"18, 72, 111",8,3
19/10/2017 00:18:17,2017.2,39,S,F,Não USP,,5,0,,Não,,0,1
19/10/2017 08:03:37,2017.2,115,N,F,Não USP,,3,0,Desenvolvedor,Sim,,0,1
19/10/2017 08:05:37,2017.2,131,N,M,Não USP,,Pós-graduação,2,Negócios,Não,,0,1
19/10/2017 09:51:00,2017.2,29,N,M,Não USP,,2,5,Desenvolvedor,Sim,"29, 49, 61",14,3
19/10/2017 09:55:47,2017.2,49,N,M,Não USP,,2,1,Negócios,Sim,"29, 49, 61",14,3
19/10/2017 09:55:55,2017.2,54,N,M,Não USP,,Pós-graduação,2,Desenvolvedor,Não,,0,1
19/10/2017 10:02:21,2017.2,61,N,M,Não USP,,1,0,Desenvolvedor,Sim,"29, 49, 61",14,3
19/10/2017 11:13:52,2017.2,42,N,M,Não USP,,Pós-graduação,1,Desenvolvedor,Não,,0,1
19/10/2017 11:56:41,2017.2,154,N,M,Não USP,,Pós-graduação,2,Negócios,Não,,0,1
19/10/2017 12:04:59,2017.2,155,S,M,Não USP,,3,2,Designer,Sim,"2, 20, 155",10,3
19/10/2017 12:05:58,2017.2,143,N,M,Não USP,,3,1,Desenvolvedor,Não,,0,1
19/10/2017 12:13:28,2017.2,22,N,M,Não USP,,2,0,Desenvolvedor,Não,,0,1
19/10/2017 14:29:30,2017.2,98,N,M,Não USP,,2,1,Desenvolvedor,Não,,0,1
19/10/2017 17:07:46,2017.2,120,S,F,Não USP,,3,0,Desenvolvedor,Não,,0,1
19/10/2017 18:55:19,2017.2,20,S,F,Não USP,,1,1,Designer,Sim,"2, 20, 155",10,3
19/10/2017 19:43:18,2017.2,6,N,F,Não USP,,Pós-graduação,0,Negócios,Não,,0,1
19/10/2017 19:48:10,2017.2,144,S,F,Não USP,,Pós-graduação,0,Designer,Não,,0,1
19/10/2017 19:57:14,2017.2,2,S,M,Não USP,,3,0,Desenvolvedor,Sim,"2, 20, 155",10,3
19/10/2017 20:35:06,2017.2,79,S,M,Não USP,,2,1,Negócios,Não,,0,1
19/10/2017 21:07:37,2017.2,127,N,M,Não USP,,Pós-graduação,0,Desenvolvedor,Não,,0,1
19/10/2017 23:40:56,2017.2,96,N,M,Não USP,,Pós-graduação,0,Negócios,Não,,0,1
20/10/2017 09:27:15,2017.2,134,N,M,Não USP,,3,2,Desenvolvedor,Sim,"134, 150",6,2
20/10/2017 09:36:41,2017.2,142,N,F,Não USP,,5,1,Desenvolvedor,Não,,0,1
20/10/2017 10:54:11,2017.2,150,N,M,Não USP,,Pós-graduação,1,Negócios,Sim,"134, 150",6,2
20/10/2017 11:59:58,2017.2,145,S,F,Não USP,,2,0,Desenvolvedor,Sim,"46, 76, 109, 145",21,4
20/10/2017 12:04:33,2017.2,46,S,F,Não USP,,2,0,Desenvolvedor,Sim,"46, 76, 109, 145",21,4
20/10/2017 19:04:10,2017.2,114,S,F,Não USP,,2,0,Designer,Não,,0,1
20/10/2017 19:40:20,2017.2,153,N,M,Não USP,,2,5,Desenvolvedor,Não,,0,1
20/10/2017 19:46:38,2017.2,97,N,M,Não USP,,2,0,Desenvolvedor,Não,,0,1
20/10/2017 21:23:29,2017.2,126,N,M,Não USP,,2,0,Designer,Sim,"44, 126",19,2
20/10/2017 22:16:33,2017.2,44,N,M,Não USP,,2,1,Desenvolvedor,Sim,"44, 126",19,2
20/10/2017 23:37:51,2017.2,111,N,M,Não USP,,2,1,Designer,Sim,"18, 72, 111",8,3
21/10/2017 10:10:44,2017.2,58,S,F,Não USP,,3,0,Designer,Sim,"53, 58, 82, 141",24,4
21/10/2017 12:03:15,2017.2,53,S,M,Não USP,,1,0,Negócios,Sim,"53, 58, 82, 141",24,4
21/10/2017 15:27:25,2017.2,141,S,M,Não USP,,5,0,Desenvolvedor,Sim,"53, 58, 82, 141",24,4
21/10/2017 17:11:13,2017.2,45,S,M,Não USP,,1,0,Desenvolvedor,Sim,"45, 57, 140,  165",20,4
